Model,Hardware,Latency (s),Energy (J),Area (mm^2),Latency Breakdown,Energy Breakdown,Area Breakdown
GPT-2 Large,lightbulb_photonic,193.38678927360002,10.060946954035199,30.5408,"{'QKV_proj': 0.001572864, 'Attention': 0.001048576, 'Softmax': 4.096e-07, 'MHA_proj': 0.000524288, 'FFN_1': 2.68435456, 'FFN_2': 2.68435456, 'Total_Latency': 193.38678927360002}","{'MAC': 0.0048346693632, 'DAC': 0.38677354905600003, 'ADC': 9.216e-09, 'Static': 9.6693387264, 'Total_Energy': 10.060946954035199}","{'MAC_array': 29.4912, 'PCA': 0.896, 'ADC': 0.1536, 'Total_Area': 30.5408}"
GPT-2 Large,pidcop_small_10G,193.38678927360002,10.732966023168,21.248,"{'QKV_proj': 0.001572864, 'Attention': 0.001048576, 'Softmax': 4.096e-07, 'MHA_proj': 0.000524288, 'FFN_1': 2.68435456, 'FFN_2': 2.68435456, 'Total_Latency': 193.38678927360002}","{'MAC': 0.09669338726400001, 'DAC': 0.96693387264, 'ADC': 3.6864e-08, 'Static': 9.6693387264, 'Total_Energy': 10.732966023168}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
GPT-2 Large,pidcop_small_25G,77.35471570944,4.931362787328,21.248,"{'QKV_proj': 0.0006291456, 'Attention': 0.0004194304, 'Softmax': 1.6384e-07, 'MHA_proj': 0.0002097152, 'FFN_1': 1.073741824, 'FFN_2': 1.073741824, 'Total_Latency': 77.35471570944}","{'MAC': 0.09669338726400001, 'DAC': 0.96693387264, 'ADC': 3.6864e-08, 'Static': 3.86773549056, 'Total_Energy': 4.931362787328}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
GPT-2 Large,pidcop_large_10G,193.38678927360002,10.732966023168,108.332,"{'QKV_proj': 0.001572864, 'Attention': 0.001048576, 'Softmax': 4.096e-07, 'MHA_proj': 0.000524288, 'FFN_1': 2.68435456, 'FFN_2': 2.68435456, 'Total_Latency': 193.38678927360002}","{'MAC': 0.09669338726400001, 'DAC': 0.96693387264, 'ADC': 3.6864e-08, 'Static': 9.6693387264, 'Total_Energy': 10.732966023168}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
GPT-2 Large,pidcop_large_25G,77.35471570944,4.931362787328,108.332,"{'QKV_proj': 0.0006291456, 'Attention': 0.0004194304, 'Softmax': 1.6384e-07, 'MHA_proj': 0.0002097152, 'FFN_1': 1.073741824, 'FFN_2': 1.073741824, 'Total_Latency': 77.35471570944}","{'MAC': 0.09669338726400001, 'DAC': 0.96693387264, 'ADC': 3.6864e-08, 'Static': 3.86773549056, 'Total_Energy': 4.931362787328}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
GPT-2 Large,pidcop_asymmetric_10G,193.38678927360002,10.732966023168,47.488,"{'QKV_proj': 0.001572864, 'Attention': 0.001048576, 'Softmax': 4.096e-07, 'MHA_proj': 0.000524288, 'FFN_1': 2.68435456, 'FFN_2': 2.68435456, 'Total_Latency': 193.38678927360002}","{'MAC': 0.09669338726400001, 'DAC': 0.96693387264, 'ADC': 3.6864e-08, 'Static': 9.6693387264, 'Total_Energy': 10.732966023168}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
GPT-2 Large,pidcop_asymmetric_25G,77.35471570944,4.931362787328,47.488,"{'QKV_proj': 0.0006291456, 'Attention': 0.0004194304, 'Softmax': 1.6384e-07, 'MHA_proj': 0.0002097152, 'FFN_1': 1.073741824, 'FFN_2': 1.073741824, 'Total_Latency': 77.35471570944}","{'MAC': 0.09669338726400001, 'DAC': 0.96693387264, 'ADC': 3.6864e-08, 'Static': 3.86773549056, 'Total_Energy': 4.931362787328}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
GPT-2 Large,pixel_photonic,193.38678927360002,6.309243537407999,8.8,"{'QKV_proj': 0.001572864, 'Attention': 0.001048576, 'Softmax': 4.096e-07, 'MHA_proj': 0.000524288, 'FFN_1': 2.68435456, 'FFN_2': 2.68435456, 'Total_Latency': 193.38678927360002}","{'MAC': 0.024173346816000002, 'DAC': 0.48346693632, 'ADC': 1.8432e-08, 'Static': 5.801603235839999, 'Total_Energy': 6.309243537407999}","{'MAC_array': 8.192, 'PCA': 0.512, 'ADC': 0.096, 'Total_Area': 8.8}"
GPT-2 Large,tpu_v4,1933.8678927359997,77355.28997152358,24.576,"{'QKV_proj': 0.01572864, 'Attention': 0.01048576, 'Softmax': 4.096e-06, 'MHA_proj': 0.00524288, 'FFN_1': 26.8435456, 'FFN_2': 26.8435456, 'Total_Latency': 1933.8678927359997}","{'MAC': 0.5801603235839999, 'DAC': 0.0, 'ADC': 0.0, 'Static': 77354.7098112, 'Total_Energy': 77355.28997152358}","{'MAC_array': 24.576, 'PCA': 0.0, 'ADC': 0.0, 'Total_Area': 24.576}"
GPT-3 (175B),deap_cnn,95003.6029243392,3518.695940476109,10.8352,"{'QKV_proj': 0.0301989888, 'Attention': 0.0201326592, 'Softmax': 8.192e-07, 'MHA_proj': 0.0100663296, 'FFN_1': 494.7802324992, 'FFN_2': 494.7802324992, 'Total_Latency': 95003.6029243392}","{'MAC': 3.5626351067136, 'DAC': 190.00720569139202, 'ADC': 7.864320000000001e-08, 'Static': 3325.1260995993603, 'Total_Energy': 3518.695940476109}","{'MAC_array': 10.24, 'PCA': 0.48, 'ADC': 0.1152, 'Total_Area': 10.8352}"
